County,Percentage,FIPS
Bernalillo,5.00%,35001
Catron,9.10%,35003
Chaves,5.70%,35005
Cibola,6.30%,35006
Colfax,5.80%,35007
Curry,5.00%,35009
De Baca,4.00%,35011
Dona Ana,5.20%,35013
Eddy,8.00%,35015
Grant,5.90%,35017
Guadalupe,7.10%,35019
Harding,,35021
Hidalgo,14.00%,35023
Lea,6.10%,35025
Lincoln,7.20%,35027
Los Alamos,2.70%,35028
Luna,4.60%,35029
McKinley,4.50%,35031
Mora,7.50%,35033
Otero,5.70%,35035
Quay,3.90%,35037
Rio Arriba,3.90%,35039
Roosevelt,3.80%,35041
Sandoval,5.20%,35043
San Juan,4.60%,35045
San Miguel,4.90%,35047
Santa Fe,6.20%,35049
Sierra,5.00%,35051
Socorro,10.90%,35053
Taos,8.10%,35055
Torrance,1.30%,35057
Union,3.60%,35059
Valencia,6.00%,35061